date,open,high,low,close,volume
1993-09-24,25.8780,25.8957,25.8075,25.8427,53500
1993-09-27,26.0368,26.1250,26.0368,26.1250,274600
1993-09-28,26.1426,26.1426,26.0544,26.0721,158300
1993-09-29,26.0721,26.1426,25.9486,25.9839,221000
1993-09-30,25.9839,26.0368,25.8780,25.9310,99300
1993-10-01,25.8957,26.0897,25.8604,26.0544,22700
1993-10-04,26.0897,26.0897,26.0191,26.0897,1038500
1993-10-05,26.1426,26.1426,25.9662,26.0544,436500
1993-10-06,26.0721,26.1779,26.0368,26.0368,209200
1993-10-07,26.0721,26.0721,25.9486,25.9662,59400
1993-10-08,26.0368,26.0544,25.8075,26.0015,54400
1993-10-11,26.0544,26.1074,26.0544,26.0544,467100
1993-10-12,26.0897,26.1074,26.0721,26.0897,26200
1993-10-13,26.1074,26.1074,26.0544,26.0897,139100
1993-10-14,26.1955,26.4249,26.1250,26.4249,108100
1993-10-15,26.5483,26.6189,26.4778,26.5660,1502500
1993-10-18,26.5483,26.5483,26.4602,26.4954,722400
1993-10-19,26.4602,26.5131,26.3014,26.3014,880100
1993-10-20,26.3896,26.3896,26.2838,26.3367,230400
1993-10-21,26.3543,26.3543,26.2661,26.3014,56200
1993-10-22,26.3367,26.4425,26.1779,26.1779,390700
1993-10-25,26.1955,26.2838,26.1250,26.2485,114500
1993-10-26,26.2308,26.2485,26.1426,26.2308,186200
1993-10-27,26.1955,26.2661,26.1955,26.2485,118400
1993-10-28,26.2838,26.5131,26.2838,26.4425,129600
1993-10-29,26.4249,26.4602,26.4072,26.4425,80700
1993-11-01,26.4072,26.5307,26.4072,26.5131,36400
1993-11-02,26.4778,26.5307,26.3367,26.4954,262100
1993-11-03,26.4778,26.4778,26.0368,26.1603,479100
1993-11-04,26.1603,26.1603,25.8604,25.8780,130400
1993-11-05,25.8075,26.0015,25.7016,26.0015,363200
1993-11-08,26.0191,26.1074,25.9486,26.0368,367600
1993-11-09,26.2132,26.2308,26.0368,26.0544,246900
1993-11-10,26.0544,26.2485,25.9839,26.2485,46500
1993-11-11,26.2485,26.3190,26.1603,26.1779,88900
1993-11-12,26.2308,26.3896,26.2132,26.3014,108200
1993-11-15,26.3543,26.3543,26.2132,26.2838,243300
1993-11-16,26.3367,26.4249,26.2308,26.4072,492600
1993-11-17,26.4249,26.4249,26.1955,26.2661,39600
1993-11-18,26.2308,26.2838,26.1250,26.1955,240800
1993-11-19,26.1074,26.1779,26.0897,26.1426,106000
1993-11-22,26.0721,26.0897,25.8957,25.9839,165300
1993-11-23,26.1250,26.1426,25.9839,26.1250,89700
1993-11-24,26.1955,26.2485,26.1603,26.2308,77200
1993-11-26,26.3014,26.3014,26.2308,26.2485,1019800
1993-11-29,26.3190,26.3719,26.1426,26.1426,517500
1993-11-30,26.1250,26.2838,26.1074,26.1603,230000
1993-12-01,26.3014,26.3190,26.1955,26.1955,379200
1993-12-02,26.2485,26.2838,26.1955,26.2661,352000
