date,Price,Open,high,Low,Vol.,Change %
01/17/2025,5996.66,5995.40,6014.96,5978.44,0.00K,1.00%
01/16/2025,5937.34,5963.61,5964.69,5930.72,0.00K,-0.21%
01/15/2025,5949.91,5905.21,5960.61,5905.21,0.00K,1.83%
01/14/2025,5842.91,5859.27,5871.92,5805.42,0.00K,0.11%
01/13/2025,5836.22,5782.02,5838.61,5773.31,,0.16%
01/10/2025,5827.04,5890.35,5890.35,5807.78,,-1.54%
01/08/2025,5918.25,5910.66,5927.89,5874.78,,0.16%
01/07/2025,5909.03,5993.26,6000.68,5890.68,,-1.11%
01/06/2025,5975.38,5982.81,6021.04,5960.01,,0.55%
01/03/2025,5942.47,5891.07,5949.34,5888.66,,1.26%
01/02/2025,5868.55,5903.26,5935.09,5829.53,,-0.22%
12/31/2024,5881.63,5919.74,5929.74,5868.86,,-0.43%
12/30/2024,5906.94,5920.67,5940.79,5869.16,,-1.07%
12/27/2024,5970.84,6006.17,6006.17,5932.95,,-1.11%
12/26/2024,6037.59,6024.97,6049.75,6007.37,,-0.04%
12/24/2024,6040.04,5984.63,6040.10,5981.44,,1.10%
12/23/2024,5974.07,5940.25,5978.25,5902.57,,0.73%
12/20/2024,5930.85,5842.00,5982.06,5832.30,,1.09%
12/19/2024,5867.08,5912.71,5935.52,5866.07,,-0.09%
12/18/2024,5872.16,6047.65,6070.67,5867.79,,-2.95%
12/17/2024,6050.61,6052.55,6057.68,6035.19,,-0.39%
12/16/2024,6074.08,6063.79,6085.19,6059.14,,0.38%
12/13/2024,6051.09,6068.17,6078.58,6035.77,,0.00%
12/12/2024,6051.25,6074.29,6079.68,6051.25,,-0.54%
12/11/2024,6084.19,6060.15,6092.59,6060.15,,0.82%
12/10/2024,6034.91,6057.59,6065.40,6029.89,,-0.30%
12/09/2024,6052.85,6083.01,6088.51,6048.63,,-0.61%
12/06/2024,6090.27,6081.38,6099.97,6079.98,,0.25%
12/05/2024,6075.11,6089.03,6094.55,6072.90,,-0.19%
12/04/2024,6086.49,6069.39,6089.84,6061.06,,0.61%
12/03/2024,6049.88,6042.97,6052.07,6033.39,,0.05%
12/02/2024,6047.15,6040.11,6053.58,6035.33,,0.24%
11/29/2024,6032.38,6003.98,6044.17,6003.98,,0.56%
11/27/2024,5998.74,6014.11,6020.16,5984.87,,-0.38%
11/26/2024,6021.63,6000.03,6025.42,5992.27,,0.57%
11/25/2024,5987.37,5992.28,6020.75,5963.91,,0.30%
11/22/2024,5969.34,5944.36,5972.90,5944.36,,0.35%
11/21/2024,5948.71,5940.58,5963.32,5887.26,,0.53%
11/20/2024,5917.11,5914.34,5920.67,5860.56,,0.00%
11/19/2024,5916.98,5870.05,5923.51,5855.29,,0.40%
11/18/2024,5893.62,5874.17,5908.12,5865.95,,0.39%
11/15/2024,5870.62,5912.79,5915.32,5853.01,,-1.32%
