DATE,BAA,DGS10,Calculated Credit Spread,Calculated scaled Credit Spread
2000-09-01,8.35,5.68,2.67,5.34
2000-11-01,8.28,5.74,2.539999999999999,5.079999999999998
2000-12-01,8.02,5.52,2.5,5.0
2001-02-01,7.87,5.1,2.7700000000000005,5.540000000000001
2001-03-01,7.84,4.87,2.9699999999999998,5.9399999999999995
2001-05-01,8.07,5.3,2.7700000000000005,5.540000000000001
2001-06-01,7.97,5.39,2.58,5.16
2001-08-01,7.85,5.11,2.7399999999999993,5.479999999999999
2001-10-01,7.91,4.55,3.3600000000000003,6.720000000000001
2001-11-01,7.81,4.24,3.5699999999999994,7.139999999999999
2002-02-01,7.89,5.02,2.87,5.74
2002-03-01,8.11,4.98,3.129999999999999,6.259999999999998
2002-04-01,8.03,5.44,2.589999999999999,5.179999999999998
2002-05-01,8.09,5.08,3.01,6.02
2002-07-01,7.9,4.85,3.0500000000000007,6.100000000000001
2002-08-01,7.58,4.47,3.1100000000000003,6.220000000000001
2002-10-01,7.73,3.72,4.01,8.02
2002-11-01,7.62,4.01,3.6100000000000003,7.220000000000001
2003-04-01,6.85,3.84,3.01,6.02
2003-05-01,6.38,3.88,2.5,5.0
2003-07-01,6.62,3.56,3.06,6.12
2003-08-01,7.01,4.44,2.5699999999999994,5.139999999999999
2003-10-01,6.73,3.96,2.7700000000000005,5.540000000000001
2003-12-01,6.6,4.4,2.1999999999999993,4.399999999999999
2004-03-01,6.11,4.0,2.1100000000000003,4.220000000000001
2004-04-01,6.46,3.91,2.55,5.1
2004-06-01,6.78,4.71,2.0700000000000003,4.140000000000001
2004-07-01,6.62,4.57,2.05,4.1
2004-09-01,6.27,4.13,2.1399999999999997,4.279999999999999
2004-10-01,6.21,4.21,2.0,4.0
2004-11-01,6.2,4.11,2.09,4.18
2004-12-01,6.15,4.38,1.7700000000000005,3.540000000000001
2005-02-01,5.82,4.15,1.67,3.34
2005-03-01,6.06,4.38,1.6799999999999997,3.3599999999999994
2005-04-01,6.05,4.46,1.5899999999999999,3.1799999999999997
2005-06-01,5.86,3.91,1.9500000000000002,3.9000000000000004
2005-07-01,5.95,4.06,1.8900000000000006,3.780000000000001
2005-08-01,5.96,4.32,1.6399999999999997,3.2799999999999994
2005-09-01,6.03,4.02,2.0100000000000007,4.020000000000001
2005-11-01,6.39,4.58,1.8099999999999996,3.619999999999999
2005-12-01,6.32,4.52,1.8000000000000007,3.6000000000000014
2006-02-01,6.27,4.57,1.6999999999999993,3.3999999999999986
2006-03-01,6.41,4.59,1.8200000000000003,3.6400000000000006
2006-05-01,6.75,5.14,1.6100000000000003,3.2200000000000006
2006-06-01,6.78,5.11,1.67,3.34
2006-08-01,6.59,4.99,1.5999999999999996,3.1999999999999993
2006-09-01,6.43,4.73,1.6999999999999993,3.3999999999999986
2006-11-01,6.2,4.57,1.63,3.26
2006-12-01,6.22,4.43,1.79,3.58
